Designator,Description,MPN,Manufacturer,Qty
"C2, C3, C8, C9",CAP FILM 0.068UF 2% 16VDC 1210,ECH-U1C683GX5,Panasonic Electronic Components,4
"C4, C10",CAP FILM 0.047UF 2% 16VDC 1206,ECH-U1C473GX5,Panasonic Electronic Components,2
"C5, C6, C11-C14, C16-C22",CAP CER 1UF 25V X5R 0402,GRM155R61E105KA12D,Murata Electronics,13
"C15, C23-C28",CAP CER 10UF 16V X5R 0805,GRM21BR61C106KE15L,Murata Electronics,7
"J1, J2",CONN DUAL RCA JACK MONO 3.2MM R/A,PJRAS2X1S01X,Switchcraft Inc.,2
J3,CONN RCPT TYPE C 24POS SMD RA,UJC-HP-3-SMT-TR,CUI Devices,1
N1,"BOX ALUM NATURAL 3.15""LX4.05""W",1455L801,Hammond Manufacturing,1
"R5, R17",RES SMD 2.32K OHM 1% 1/16W 0402,RT0402FRE072K32L,YAGEO,2
"R2, R4, R7, R14, R16, R19",RES SMD 16K OHM 1% 1/16W 0402,RT0402FRE0716KL,YAGEO,6
"R3, R6, R8, R12, R15, R24",RES SMD 499R OHM 1% 1/16W 0402,RT0402FRE07499RL,YAGEO,6
"R1, R9-R11, R13, R21-R23",RES SMD 47K OHM 1% 1/16W 0402,RT0402FRE0747KL,YAGEO,8
"R25, R28",RES 20.5K OHM 1% 1/16W 0402,RC0402FR-0720K5L,YAGEO,2
"R26, R27, R29, R30",RES SMD 5.1K OHM 1% 1/16W 0402,RC0402FR-075K1L,YAGEO,4
U1,IC AUDIO 4 CIRCUIT 14SOIC,OPA1644AID,Texas Instruments,1
U2,IC AUDIO 2 CIRCUIT 8SOIC,OPA1612AID,Texas Instruments,1
U3,IC REG CHARGE PUMP INV 18DFN,LTC3265EDHC#TRPBF,Analog Devices Inc.,1